[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 214.0-215.0 sec  49.1 KBytes   402 Kbits/sec
[SUM] 215.0-216.0 sec   105 KBytes   859 Kbits/sec
[SUM] 216.0-217.0 sec  70.9 KBytes   580 Kbits/sec
[SUM] 217.0-218.0 sec   141 KBytes  1.15 Mbits/sec
[SUM] 218.0-219.0 sec   135 KBytes  1.10 Mbits/sec
[SUM] 219.0-220.0 sec  51.0 KBytes   418 Kbits/sec
[SUM] 220.0-221.0 sec  32.8 KBytes   269 Kbits/sec
[SUM] 221.0-222.0 sec  65.0 KBytes   533 Kbits/sec
[SUM] 222.0-223.0 sec  48.9 KBytes   401 Kbits/sec
[SUM] 223.0-224.0 sec  53.7 KBytes   440 Kbits/sec
[SUM] 224.0-225.0 sec   128 KBytes  1.05 Mbits/sec
[SUM] 225.0-226.0 sec  65.2 KBytes   534 Kbits/sec
[SUM] 226.0-227.0 sec  43.5 KBytes   357 Kbits/sec
[SUM] 227.0-228.0 sec   132 KBytes  1.09 Mbits/sec
[SUM] 228.0-229.0 sec   163 KBytes  1.34 Mbits/sec
[SUM] 229.0-230.0 sec  9.97 KBytes  81.7 Kbits/sec
[SUM] 230.0-231.0 sec  12.0 KBytes  98.5 Kbits/sec
[SUM] 231.0-232.0 sec  27.4 KBytes   224 Kbits/sec
[SUM] 232.0-233.0 sec  59.4 KBytes   486 Kbits/sec
[SUM] 233.0-234.0 sec  39.5 KBytes   324 Kbits/sec
[SUM] 234.0-235.0 sec  45.4 KBytes   372 Kbits/sec
[SUM] 235.0-236.0 sec  63.7 KBytes   522 Kbits/sec
[SUM] 236.0-237.0 sec  21.6 KBytes   177 Kbits/sec
[SUM] 237.0-238.0 sec  12.8 KBytes   105 Kbits/sec
[SUM] 238.0-239.0 sec   113 KBytes   929 Kbits/sec
[SUM] 239.0-240.0 sec  20.8 KBytes   171 Kbits/sec
[SUM] 240.0-241.0 sec  64.9 KBytes   532 Kbits/sec
[SUM] 241.0-242.0 sec  89.8 KBytes   735 Kbits/sec
[SUM] 242.0-243.0 sec  32.2 KBytes   263 Kbits/sec
[SUM] 243.0-244.0 sec  63.8 KBytes   523 Kbits/sec
[SUM] 244.0-245.0 sec   117 KBytes   961 Kbits/sec
[SUM] 245.0-246.0 sec  37.6 KBytes   308 Kbits/sec
[SUM] 246.0-247.0 sec   115 KBytes   946 Kbits/sec
[SUM] 247.0-248.0 sec   119 KBytes   972 Kbits/sec
[SUM] 248.0-249.0 sec   126 KBytes  1.04 Mbits/sec
[SUM] 249.0-250.0 sec   214 KBytes  1.76 Mbits/sec
[SUM] 250.0-251.0 sec   151 KBytes  1.23 Mbits/sec
[SUM] 251.0-252.0 sec  91.3 KBytes   748 Kbits/sec
[SUM] 252.0-253.0 sec  51.9 KBytes   425 Kbits/sec
[SUM] 253.0-254.0 sec  58.1 KBytes   476 Kbits/sec
[SUM] 254.0-255.0 sec  5.67 KBytes  46.5 Kbits/sec
[SUM] 255.0-256.0 sec   190 KBytes  1.56 Mbits/sec
[SUM] 256.0-257.0 sec  26.6 KBytes   218 Kbits/sec
